property,postcode,transfer_unit_postcode,transfer_unit_travel_time,selected,selected,BNG_E,BNG_N,Latitude,Longitude,BNG_E_mt,BNG_N_mt,Latitude_mt,Longitude_mt,unit_coords,transfer_coords,line_coords,geometry
scenario,any,any,any,drip-and-ship,mothership,any,any,any,any,any,any,any,any,any,any,any,any
id,,,,,,,,,,,,,,,,,
47,CT94AN,,,0.0,0.0,635967.0,169786.0,51.378053,1.3893845,,,,,"[635967.0, 169786.0]","[nan, nan]","[[635967.0, 169786.0], [nan, nan]]","LINESTRING (635967 169786, NaN NaN)"
48,CV107DJ,,,0.0,0.0,435718.0,290586.0,52.511999,-1.4751307,,,,,"[435718.0, 290586.0]","[nan, nan]","[[435718.0, 290586.0], [nan, nan]]","LINESTRING (435718 290586, NaN NaN)"
49,CV22DX,CV22DX,0.0,0.0,0.0,437942.0,280527.0,52.421424,-1.4435031,437942.0,280527.0,52.421424,-1.4435031,"[437942.0, 280527.0]","[437942.0, 280527.0]","[[437942.0, 280527.0], [437942.0, 280527.0]]","LINESTRING (437942 280527, 437942 280527)"
50,CV345BW,,,0.0,0.0,428525.0,265839.0,52.28995,-1.5832152,,,,,"[428525.0, 265839.0]","[nan, nan]","[[428525.0, 265839.0], [nan, nan]]","LINESTRING (428525 265839, NaN NaN)"
51,CW14QJ,ST46QG,29.4,0.0,,368248.0,357940.0,53.117685,-2.4758631,385678.0,345211.0,53.004021,-2.2148723,"[368248.0, 357940.0]","[385678.0, 345211.0]","[[368248.0, 357940.0], [385678.0, 345211.0]]","LINESTRING (368248 357940, 385678 345211)"
52,CW14QJ,,,,0.0,368248.0,357940.0,53.117685,-2.4758631,,,,,"[368248.0, 357940.0]","[nan, nan]","[[368248.0, 357940.0], [nan, nan]]","LINESTRING (368248 357940, NaN NaN)"
53,DA28DA,RM70AG,29.4,0.0,,557060.0,173092.0,51.435061,0.25816101,551110.0,187777.0,51.568622,0.17891397,"[557060.0, 173092.0]","[551110.0, 187777.0]","[[557060.0, 173092.0], [551110.0, 187777.0]]","LINESTRING (557060 173092, 551110 187777)"
54,DA28DA,,,,0.0,557060.0,173092.0,51.435061,0.25816101,,,,,"[557060.0, 173092.0]","[nan, nan]","[[557060.0, 173092.0], [nan, nan]]","LINESTRING (557060 173092, NaN NaN)"
55,DE130RB,,,0.0,0.0,423313.0,324460.0,52.817179,-1.6555278,,,,,"[423313.0, 324460.0]","[nan, nan]","[[423313.0, 324460.0], [nan, nan]]","LINESTRING (423313 324460, NaN NaN)"
56,DE223NE,NG72UH,28.4,0.0,,432826.0,335014.0,52.911556,-1.5133206,454811.0,338760.0,52.943439,-1.1857996,"[432826.0, 335014.0]","[454811.0, 338760.0]","[[432826.0, 335014.0], [454811.0, 338760.0]]","LINESTRING (432826 335014, 454811 338760)"
57,DE223NE,,,,0.0,432826.0,335014.0,52.911556,-1.5133206,,,,,"[432826.0, 335014.0]","[nan, nan]","[[432826.0, 335014.0], [nan, nan]]","LINESTRING (432826 335014, NaN NaN)"
58,DH15TW,NE14LP,27.3,0.0,,426275.0,543854.0,54.788899,-1.5929282,424540.0,565083.0,54.979753,-1.6181094,"[426275.0, 543854.0]","[424540.0, 565083.0]","[[426275.0, 543854.0], [424540.0, 565083.0]]","LINESTRING (426275 543854, 424540 565083)"
59,DH15TW,,,,0.0,426275.0,543854.0,54.788899,-1.5929282,,,,,"[426275.0, 543854.0]","[nan, nan]","[[426275.0, 543854.0], [nan, nan]]","LINESTRING (426275 543854, NaN NaN)"
