Postcode,Description,Grid Reference,X (easting),Y (northing),Latitude,Longitude
TR13LQ,TR13LQ,SW 79563 45467,179563,45467,50.267934,-5.0946045
EX25DW,EX25DW,SX 93730 91870,293730,91870,50.716712,-3.5066801
BA13NG,BA13NG,ST 72922 66042,372922,166042,51.392764,-2.3905661
SP28BJ,SP28BJ,SU 14831 27199,414831,127199,51.043955,-1.7898225
TA15DA,TA15DA,ST 21541 24218,321541,124218,51.01197,-3.1197783
TQ27AA,TQ27AA,SX 89858 65877,289858,65877,50.482325,-3.5537901
BS28HW,BS28HW,ST 58668 73492,358668,173492,51.458886,-2.596293
BS234TQ,BS234TQ,ST 32406 58585,332406,158585,51.322335,-2.9713986
BA214AT,BA214AT,ST 55562 16398,355562,116398,50.945297,-2.6339071
HP112TT,HP112TT,SU 86387 92671,486387,192671,51.626235,-0.75341914
SL24HL,SL24HL,SU 98930 82543,498930,182543,51.533136,-0.57512489
MK65LD,MK65LD,SP 86835 37195,486835,237195,52.026383,-0.73579539
OX169AL,OX169AL,SP 45582 39667,445582,239667,52.053522,-1.3366639
OX39DU,OX39DU,SP 53940 07531,453940,207531,51.763871,-1.2198064
RG15AN,RG15AN,SU 72458 73005,472458,173005,51.451402,-0.95864504
DT12JY,DT12JY,SY 68528 90521,368528,90521,50.713461,-2.4471253
SO225DG,SO225DG,SU 46982 29328,446982,129328,51.061375,-1.3309587
PO305TG,PO305TG,SZ 49458 90396,449458,90396,50.711101,-1.3008871
BH152JB,BH152JB,SZ 01994 91374,401994,91374,50.721987,-1.9731169
PO63LY,PO63LY,SU 65473 05974,465473,105974,50.849589,-1.0713238
BH77DW,BH77DW,SZ 12760 94224,412760,94224,50.747482,-1.8205054
SO166YD,SO166YD,SU 39793 14993,439793,114993,50.933019,-1.435104
NP448YN,NP448YN,ST 31159 94636,331159,194636,51.646288,-2.9963314
LL185UJ,LL185UJ,SJ 00309 76019,300309,376019,53.271755,-3.4963452
LL137TD,LL137TD,SJ 32375 50356,332375,350356,53.046173,-3.0101802
LL572PW,LL572PW,SH 55857 70173,255857,370173,53.20902,-4.1598251
CF144XW,CF144XW,ST 17551 79319,317551,179319,51.506764,-3.1893604
CF479DT,CF479DT,SO 04481 08161,304481,208161,51.763954,-3.3855045
CF311RQ,CF311RQ,SS 91047 81033,291047,181033,51.517676,-3.5716382
SY231ER,SY231ER,SN 59208 81805,259208,281805,52.416068,-4.0715775
SA148QF,SA148QF,SN 52459 01367,252459,201367,51.691612,-4.1359742
SA312AF,SA312AF,SN 42792 21240,242792,221240,51.867524,-4.2847226
SA612PZ,SA612PZ,SM 95710 16835,195710,216835,51.812716,-4.9650724
SA66NL,SA66NL,SN 66311 00206,266311,200206,51.684652,-3.9352525
NP202UB,NP202UB,ST 30932 87243,330932,187243,51.579798,-2.9981523
