property,,unit_travel_time,unit_postcode,selected,admissions,relative_frequency,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency,unit_travel_time,unit_postcode,selected,admissions,relative_frequency,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency,utility_shift,utility_shift,mRS shift,mRS shift,mRS 0-2,mRS 0-2
scenario,,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership
subtype,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,mean,std,mean,std,mean,std
lsoa,lsoa_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 006A,E01014465,13.3,BA13NG,1,0.333333333,4.2828386611846335e-05,,,,,,,,,,,,,,,,,,,,,,,33.7,BS105NB,1,0.333333333,4.710759369700396e-05,30,,60,,80,,113.7,,,,,,,,,,,,,,0.333333333,4.710759369700396e-05,,,,,,
Bath and North East Somerset 006B,E01014466,13.3,BA13NG,1,1.0,0.00012848515996402416,30,,60,,80,,93.3,,123.3,,,,,,-0.5509167558604982,,0.1010737740467148,,0.6901004445073456,,1.0,0.00012848515996402416,34.8,BS105NB,1,1.0,0.00014132278123233464,30,0,60,0,80,0,114.8,0,144.8,0,,,144.8,,-0.71241910331948,0.29533387937454303,0.1367899785776769,0.06208685810884801,0.5689703850263266,0.158755417335179,1.0,0.00014132278123233464,-0.03571620453096211,0.06208685810884801,0.16150234745898184,0.29533387937454303,0.12113005948101907,0.158755417335179
Bath and North East Somerset 006C,E01014467,13.3,BA13NG,1,2.666666667,0.0003426270932802261,30,0,60,0,80,0,93.3,0,123.3,0,187.0,,247.0,,-0.5675277362264433,0.023491473717832764,0.10962906414688159,0.012099007289692142,0.539685966078248,0.21271819537170517,2.666666667,0.0003426270932802261,32.6,BS105NB,1,2.666666667,0.00037686075,30,0,60,0,80,0,112.6,0,142.6,,,,,,-0.5084481253699789,,0.09373169842885942,,0.6821415581757908,,2.666666667,0.00037686075,0.015897365718022166,0.012099007289692142,-0.059079610856464404,0.023491473717832764,-0.14245559209754277,0.21271819537170517
Bath and North East Somerset 006D,E01014468,13.3,BA13NG,1,1.0,0.00012848515996402416,30,0,60,0,80,0,93.3,0,123.3,,187.0,,247.0,,-0.5841387165923884,,0.11818435424704837,,0.38927148764915054,,1.0,0.00012848515996402416,36.9,BS105NB,1,1.0,0.00014132278123233464,30,,60,,80,,116.9,,146.9,,,,,,-0.4989420215832505,,0.09208123629902554,,0.6803535248515594,,1.0,0.00014132278123233464,0.026103117948022836,,-0.08519669500913785,,-0.2910820372024089,
Bath and North East Somerset 007A,E01014370,12.2,BA13NG,1,3.666666667,0.00047111225324425026,30,0,60,0,80,0,92.2,0,122.2,0,185.9,0,245.9,0,-0.57621354146573,0.019820080159214336,0.11306173464513343,0.010022304911981042,0.4901702430074506,0.17353460426056094,3.666666667,0.00047111225324425026,36.9,BS105NB,1,3.666666667,0.0005181835312323347,30,0,60,0,80,0,116.9,0,,,,,,,,,,,,,3.666666667,0.0005181835312323347,,0.010022304911981042,,0.019820080159214336,,0.17353460426056094
Bath and North East Somerset 007B,E01014371,11.2,BA13NG,1,2.333333333,0.00029979870653989467,30,,60,,80,,91.2,,,,,,,,,,,,,,2.333333333,0.00029979870653989467,35.9,BS105NB,1,2.333333333,0.0003297531561616733,30,,60,,80,,115.9,,145.9,,,,,,-0.501154154382824,,0.09246553903781563,,0.6807698225220166,,2.333333333,0.0003297531561616733,,,,,,
Bath and North East Somerset 007C,E01014372,11.2,BA13NG,1,1.666666667,0.000214141933316202,,,,,,,,,,,,,,,,,,,,,,,35.9,BS105NB,1,1.666666667,0.00023553796876766536,30,,60,,80,,115.9,,145.9,,,,145.9,,-0.9175183382021013,,0.180012547011363,,0.4559742319491503,,1.666666667,0.00023553796876766536,,,,,,
Bath and North East Somerset 007D,E01014412,12.2,BA13NG,1,3.0,0.00038545547989207247,30,0,60,0,80,0,92.2,0,122.2,,185.9,,245.9,,-0.5876566700810124,,0.1188481150839662,,0.38997999252390053,,3.0,0.00038545547989207247,36.9,BS105NB,1,3.0,0.00042396834369700395,30,0,60,0,80,0,116.9,0,146.9,0,,,146.9,,-0.7065341214273176,0.2935795630409894,0.13573808136291063,0.06174010237976721,0.5678279984134205,0.15913512560198834,3.0,0.00042396834369700395,-0.01688996627894443,0.06174010237976721,0.11887745134630523,0.2935795630409894,-0.17784800588951993,0.15913512560198834
Bath and North East Somerset 007E,E01014413,13.3,BA13NG,1,2.666666667,0.0003426270932802261,30,0,60,0,80,0,93.3,0,123.3,0,,,,,-0.5509167558604982,0.0,0.1010737740467148,0.0,0.6901004445073456,0.0,2.666666667,0.0003426270932802261,36.9,BS105NB,1,2.666666667,0.00037686075,30,0,60,0,80,0,116.90000000000002,0,146.9,0,,,,,-0.4989420215832505,0.0,0.09208123629902554,0.0,0.6803535248515594,0.0,2.666666667,0.00037686075,0.008992537747689267,0.0,-0.051974734277247636,0.0,0.009746919655786224,0.0
Bath and North East Somerset 007F,E01014414,11.2,BA13NG,1,2.333333333,0.00029979870653989467,30,0,60,0,80,0,91.2,0,121.2,0,,,,,-0.5555177252880323,0.0,0.101866121476618,0.0,0.6909597935863311,0.0,2.333333333,0.00029979870653989467,35.9,BS105NB,1,2.333333333,0.0003297531561616733,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
