lsoa,lsoa_code,unit_travel_time,unit_postcode,selected,admissions,relative_frequency
Bristol 025C,E01014561,14.4,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 025D,E01014563,14.4,BS105NB,1,0.333333333,4.710759369700396e-05
Bristol 025E,E01033342,16.5,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 025F,E01033367,14.4,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 026A,E01014551,17.6,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 026B,E01014552,16.5,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 026C,E01014553,15.5,BS105NB,1,1.0,0.00014132278123233464
Bristol 026D,E01014554,17.6,BS105NB,1,1.0,0.00014132278123233464
Bristol 026E,E01014556,15.5,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 027A,E01014673,17.6,BS105NB,1,3.0,0.00042396834369700395
Bristol 027B,E01014674,16.5,BS105NB,1,2.0,0.0002826455624646693
Bristol 027C,E01014675,17.6,BS105NB,1,2.666666667,0.00037686075
Bristol 027D,E01014676,17.6,BS105NB,1,3.0,0.00042396834369700395
Bristol 028A,E01014682,16.5,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 028B,E01014683,17.6,BS105NB,1,5.0,0.0007066139061616733
Bristol 028C,E01014685,16.5,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 028D,E01014686,15.5,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 028E,E01014687,16.5,BS105NB,1,2.0,0.0002826455624646693
Bristol 029A,E01014565,15.5,BS105NB,1,3.333333333,0.00047107593739400795
Bristol 029B,E01014566,16.5,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 029C,E01014567,16.5,BS105NB,1,1.0,0.00014132278123233464
Bristol 029D,E01014681,15.5,BS105NB,1,4.0,0.0005652911249293386
Bristol 029E,E01014684,16.5,BS105NB,1,1.0,0.00014132278123233464
Bristol 030A,E01014544,16.5,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 030B,E01014545,17.6,BS105NB,1,2.0,0.0002826455624646693
Bristol 030C,E01014546,18.7,BS105NB,1,0.0,0.0
Bristol 030D,E01014547,18.7,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 032A,E01014538,16.5,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 032B,E01014540,17.6,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 032C,E01014542,16.5,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 032E,E01033344,17.6,BS105NB,1,1.0,0.00014132278123233464
