property,,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency
subtype,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,
lsoa,lsoa_code,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 015B,E01014456,30.0,0.0,60.0,0.0,80.0,0.0,113.7,0.0,143.7,0.0,,,143.7,0.0,-0.8202448306201999,0.2094846610336932,0.1593561807697652,0.044030791575644525,0.5135106639982965,0.1121159990655262,2.666666667,0.00037686075
Bath and North East Somerset 015C,E01014457,30.0,,60.0,,80.0,,113.7,,143.7,,,,143.7,,-0.9249871611370466,,0.18137157655758746,,0.4574526644655334,,2.0,0.0002826455624646693
Bath and North East Somerset 015D,E01014458,30.0,0.0,60.0,0.0,80.0,0.0,113.7,0.0,143.7,0.0,,,143.7,,-0.7155025001033534,0.2962560487429796,0.13734078498194294,0.062268942608299495,0.5695686635310596,0.15855596643747638,1.0,0.00014132278123233464
Bath and North East Somerset 016A,E01014391,30.0,,60.0,,80.0,,113.7,,,,,,,,,,,,,,1.666666667,0.00023553796876766536
Bath and North East Somerset 016C,E01014452,30.0,0.0,60.0,0.0,80.0,0.0,106.2,0.0,136.2,0.0,,,,,-0.52256723755205,0.0,0.09617833471744708,0.0,0.684792889255142,0.0,2.666666667,0.00037686075
Bath and North East Somerset 016D,E01014453,30.0,0.0,60.0,0.0,80.0,0.0,107.3,0.0,137.3,0.0,,,137.3,,-0.7334527158803386,0.30166542743792435,0.1405428588489044,0.06333442016930582,0.5730478852307475,0.1573880478866575,4.0,0.0005652911249293386
Bath and North East Somerset 016E,E01014454,30.0,,60.0,,80.0,,106.2,,136.2,,,,136.2,,-0.9505120853297679,,0.18600717650716364,,0.46249825513808857,,2.0,0.0002826455624646693
Bath and North East Somerset 016F,E01014459,30.0,,60.0,,80.0,,116.9,,146.9,,,,,,-0.4989420215832505,,0.09208123629902554,,0.6803535248515594,,1.666666667,0.00023553796876766536
Bath and North East Somerset 016G,E01014460,30.0,,60.0,,80.0,,115.9,,145.9,,,,,,-0.501154154382824,,0.09246553903781563,,0.6807698225220166,,3.0,0.00042396834369700395
Bath and North East Somerset 017B,E01014416,30.0,0.0,60.0,0.0,80.0,0.0,114.8,0.0,144.8,0.0,,,144.8,0.0,-0.71241910331948,0.24113910274143585,0.1367899785776769,0.05069370736641926,0.5689703850263266,0.12962325545792788,4.333333333,0.0006123987186263426
Bath and North East Somerset 017C,E01014417,30.0,0.0,60.0,0.0,80.0,0.0,115.90000000000002,0.0,145.9,0.0,,,,,-0.501154154382824,0.0,0.09246553903781563,0.0,0.6807698225220166,0.0,4.0,0.0005652911249293386
Bath and North East Somerset 018B,E01014388,30.0,,60.0,,80.0,,119.1,,149.1,,,,,,-0.4940723348446563,,0.09123475990342578,,0.6794366581201382,,2.666666667,0.00037686075
Bath and North East Somerset 018C,E01014389,30.0,,60.0,,80.0,,119.1,,149.1,,,,149.1,,-0.9066697622449285,,0.1780364344163345,,0.4538251758482484,,2.0,0.0002826455624646693
Bath and North East Somerset 018D,E01014390,30.0,0.0,60.0,0.0,80.0,0.0,118.0,0.0,,,,,,,,,,,,,1.333333333,0.0001884303749293386
Bath and North East Somerset 019A,E01014431,30.0,0.0,60.0,0.0,80.0,0.0,113.7,0.0,143.7,0.0,,,143.7,,-0.7155025001033534,0.2962560487429796,0.13734078498194294,0.062268942608299495,0.5695686635310596,0.1585559664374764,1.333333333,0.0001884303749293386
Bath and North East Somerset 019B,E01014432,30.0,0.0,60.0,0.0,80.0,0.0,114.8,0.0,144.8,0.0,,,144.8,,-0.71241910331948,0.29533387937454303,0.1367899785776769,0.06208685810884801,0.5689703850263266,0.15875541733517895,2.666666667,0.00037686075
Bath and North East Somerset 019D,E01014434,30.0,0.0,60.0,0.0,80.0,0.0,113.7,0.0,143.7,,,,,,-0.5060178390696601,,0.09330999340629842,,0.6816846625965858,,1.666666667,0.00023553796876766536
Bath and North East Somerset 020C,E01014419,30.0,0.0,60.0,0.0,80.0,0.0,113.7,0.0,,,,,,,,,,,,,3.0,0.00042396834369700395
Bath and North East Somerset 020D,E01014446,30.0,0.0,60.0,0.0,80.0,0.0,107.3,0.0,137.3,0.0,,,,,-0.5201430464894439,0.0,0.09575866086467022,0.0,0.6843380411691161,0.0,0.666666667,9.42151875353307e-05
Bath and North East Somerset 020E,E01014447,30.0,0.0,60.0,0.0,80.0,0.0,104.1,0.0,134.1,,,,,,-0.52719230109543,,0.0969785581024103,,0.6856602522029953,,2.666666667,0.00037686075
Bath and North East Somerset 021A,E01014382,30.0,0.0,60.0,0.0,80.0,0.0,113.7,0.0,143.7,0.0,,,143.7,0.0,-0.8202448306201999,0.20948466103369323,0.1593561807697652,0.04403079157564452,0.5135106639982965,0.1121159990655262,4.333333333,0.0006123987186263426
Bath and North East Somerset 021B,E01014383,30.0,0.0,60.0,0.0,80.0,0.0,116.9,0.0,146.9,,,,146.9,,-0.9141262212713848,,0.17939492642679572,,0.4553024719752816,,1.666666667,0.00023553796876766536
Bath and North East Somerset 021C,E01014384,30.0,,60.0,,80.0,,113.7,,143.7,,,,,,-0.5060178390696601,,0.09330999340629842,,0.6816846625965858,,1.666666667,0.00023553796876766536
Bath and North East Somerset 022A,E01014379,30.0,0.0,60.0,0.0,80.0,0.0,116.90000000000002,0.0,146.9,0.0,,,146.9,,-0.7065341214273176,0.2935795630409894,0.13573808136291063,0.06174010237976721,0.5678279984134205,0.15913512560198825,3.0,0.00042396834369700395
Bath and North East Somerset 022B,E01014442,30.0,0.0,60.0,0.0,80.0,0.0,121.2,0.0,151.2,,,,,,-0.48942017259882986,,0.09042546536292018,,0.6785601730025733,,2.0,0.0002826455624646693
Bath and North East Somerset 022C,E01014443,30.0,0.0,60.0,0.0,80.0,0.0,121.2,0.0,151.2,,,,,,-0.48942017259882986,,0.09042546536292018,,0.6785601730025733,,2.0,0.0002826455624646693
Bath and North East Somerset 022D,E01014444,30.0,0.0,60.0,0.0,80.0,0.0,121.2,0.0,151.2,,,,151.2,,-0.8995602236638227,,0.1767400538605431,,0.4524157872791064,,3.333333333,0.00047107593739400795
Bath and North East Somerset 023A,E01014393,30.0,0.0,60.0,0.0,80.0,0.0,115.9,0.0,145.9,,,,,,-0.501154154382824,,0.09246553903781563,,0.6807698225220166,,2.666666667,0.00037686075
Bath and North East Somerset 023B,E01014394,30.0,0.0,60.0,0.0,80.0,0.0,115.90000000000002,0.0,145.9,0.0,,,,,-0.501154154382824,0.0,0.09246553903781563,0.0,0.6807698225220166,0.0,3.333333333,0.00047107593739400795
Bath and North East Somerset 023C,E01014439,30.0,0.0,60.0,0.0,80.0,0.0,120.2,0.0,150.2,0.0,,,150.2,,-0.5738977105012817,0.18394288246550342,0.10812026761212863,0.03870469619531911,0.6337995295730692,0.10102146963656289,6.333333333,0.0008950442810910118
Bath and North East Somerset 023D,E01014440,30.0,0.0,60.0,0.0,80.0,0.0,118.0,0.0,148.0,0.0,,,148.0,0.0,-0.7724338468739677,0.23895905964794148,0.14969647912505413,0.05026264864666289,0.5296742376842373,0.13009522601221996,2.666666667,0.00037686075
Bath and North East Somerset 023E,E01014441,30.0,,60.0,,80.0,,120.2,,150.2,,,,,,-0.4916359526672578,,0.09081100126388642,,0.6789777042319263,,2.333333333,0.0003297531561616733
Bath and North East Somerset 024A,E01014448,30.0,0.0,60.0,0.0,80.0,0.0,122.3,0.0,152.3,0.0,,,152.3,,-0.6232676641215206,0.2360539698151728,0.11868774447801139,0.0496868205241243,0.6026263188756996,0.13072521815548974,3.666666667,0.0005181835312323347
Bath and North East Somerset 024B,E01014449,30.0,,60.0,,80.0,,125.5,,,,,,,,,,,,,,0.666666667,9.42151875353307e-05
Bath and North East Somerset 024C,E01014450,30.0,,60.0,,80.0,,125.5,,155.5,,,,155.5,,-0.8850271432254209,,0.1740867185403387,,0.4495323001641089,,1.666666667,0.00023553796876766536
Bath and North East Somerset 025A,E01014420,30.0,0.0,60.0,0.0,80.0,0.0,121.2,0.0,,,,,,,,,,,,,2.0,0.0002826455624646693
Bath and North East Somerset 025B,E01014421,30.0,,60.0,,80.0,,120.2,,,,,,,,,,,,,,1.333333333,0.0001884303749293386
Bath and North East Somerset 025C,E01014422,30.0,0.0,60.0,0.0,80.0,0.0,120.2,0.0,150.2,,,,,,-0.4916359526672578,,0.09081100126388642,,0.6789777042319263,,3.666666667,0.0005181835312323347
Bath and North East Somerset 026A,E01014469,30.0,0.0,60.0,0.0,80.0,0.0,125.5,0.0,155.5,0.0,,,155.5,0.0,-0.8850271432254209,0.0,0.1740867185403387,0.0,0.4495323001641089,0.0,2.333333333,0.0003297531561616733
Bath and North East Somerset 026B,E01014470,30.0,0.0,60.0,0.0,80.0,0.0,125.5,0.0,155.5,0.0,,,,,-0.4798827391203766,0.0,0.08876440187375334,0.0,0.6767615399291754,0.0,2.0,0.0002826455624646693
Bath and North East Somerset 026D,E01014472,30.0,0.0,60.0,0.0,80.0,0.0,123.4,0.0,153.4,,,,,,-0.4845424924314452,,0.08957627910778976,,0.6776405995528504,,1.333333333,0.0001884303749293386
Bath and North East Somerset 027A,E01014424,30.0,0.0,60.0,0.0,80.0,0.0,122.3,0.0,,,,,,,,,,,,,3.0,0.00042396834369700395
Bath and North East Somerset 027B,E01014425,30.0,0.0,60.0,0.0,80.0,0.0,121.2,0.0,151.2,,,,,,-0.48942017259882986,,0.09042546536292018,,0.6785601730025733,,3.0,0.00042396834369700395
Bath and North East Somerset 027C,E01014426,30.0,0.0,60.0,0.0,80.0,0.0,121.2,0.0,151.2,,,,151.2,,-0.8995602236638227,,0.1767400538605431,,0.4524157872791064,,2.666666667,0.00037686075
Bristol 001B,E01014602,30.0,0.0,60.0,0.0,80.0,0.0,94.4,0.0,124.4,,,,,,-0.5485051373724896,,0.10065822127345925,,0.6896497842700364,,3.333333333,0.00047107593739400795
Bristol 001C,E01014603,30.0,,60.0,,80.0,,92.2,,,,,,,,,,,,,,2.0,0.0002826455624646693
Bristol 001E,E01014605,30.0,0.0,60.0,0.0,80.0,0.0,93.3,0.0,123.3,0.0,,,123.3,,-0.7727770761888035,0.31375787396072874,0.14753097175631077,0.0657003990707589,0.5806472669472937,0.15479016815025587,4.0,0.0005652911249293386
Bristol 001G,E01032516,30.0,0.0,60.0,0.0,80.0,0.0,96.5,0.0,126.5,,,,,,-0.5438981216914698,,0.09986391380020931,,0.6887884331545439,,2.666666667,0.00037686075
Bristol 001H,E01032517,30.0,0.0,60.0,0.0,80.0,0.0,93.3,0.0,123.3,0.0,,,123.3,,-0.7727770761888035,0.31375787396072874,0.14753097175631077,0.0657003990707589,0.5806472669472937,0.15479016815025587,2.333333333,0.0003297531561616733
Bristol 002A,E01014688,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,,,,,,,,,,,,,3.0,0.00042396834369700395
Bristol 002B,E01014689,30.0,0.0,60.0,0.0,80.0,0.0,91.2,0.0,121.2,0.0,,,121.2,,-0.7786821192653153,0.31560211260144616,0.1485771382661686,0.06605935345601983,0.5817856404871375,0.15439556797347606,1.666666667,0.00023553796876766536
Bristol 002D,E01014691,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,0.0,,,122.2,,-0.7758699976560787,0.3147229235271647,0.14807903279034154,0.06588829334191089,0.5812436117288811,0.1545836288859354,5.666666667,0.000800829093697004
Bristol 002E,E01014692,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,120.1,,,,,,-0.5579261645693461,,0.102280646480582,,0.6914094027445281,,3.0,0.00042396834369700395
Bristol 002F,E01014693,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,,,,,,-0.5533272842351653,,0.1014889737674679,,0.6905507439745506,,2.666666667,0.00037686075
Bristol 002G,E01014694,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,,,,122.2,,-0.998412711076992,,0.19466909181321518,,0.4719364794832114,,2.0,0.0002826455624646693
Bristol 003A,E01014497,30.0,0.0,60.0,0.0,80.0,0.0,104.1,0.0,134.1,0.0,,,134.1,0.0,-0.9576763134979736,0.0,0.1873057923053893,0.0,0.4639124431174857,0.0,3.333333333,0.00047107593739400795
Bristol 003B,E01014498,30.0,0.0,60.0,0.0,80.0,0.0,103.0,0.0,133.0,,,,133.0,,-0.9614319809305374,,0.18798612358261807,,0.46465344140654197,,3.0,0.00042396834369700395
Bristol 003C,E01014638,30.0,0.0,60.0,0.0,80.0,0.0,98.7,0.0,128.7,0.0,,,128.7,,-0.757600093906937,0.3090517641580302,0.14483832419401474,0.0647821805980308,0.5777181000329156,0.15579904546581946,3.0,0.00042396834369700395
Bristol 003D,E01014639,30.0,,60.0,,80.0,,98.7,,128.7,,,,128.7,,-0.9761326920807458,,0.1906462433949339,,0.4675515384816434,,2.0,0.0002826455624646693
Bristol 003E,E01014640,30.0,,60.0,,80.0,,97.6,,127.6,,,,,,-0.5414833481997912,,0.09944733542126116,,0.6883367266385902,,3.333333333,0.00047107593739400795
Bristol 004B,E01014632,30.0,,60.0,,80.0,,87.9,,117.9,,,,117.9,,-1.0131894517268405,,0.19733133443212608,,0.47483971067653574,,2.333333333,0.0003297531561616733
Bristol 004C,E01014633,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,120.1,,,,120.1,,-1.0056255555323372,,0.19596916997439157,,0.4733541116605104,,2.666666667,0.00037686075
Bristol 004D,E01014636,30.0,0.0,60.0,0.0,80.0,0.0,89.0,0.0,119.0,0.0,,,119.0,0.0,-1.0094065379294204,0.0,0.196650230442761,0.0,0.47409685384631833,0.0,2.333333333,0.0003297531561616733
Bristol 005C,E01014659,30.0,,60.0,,80.0,,91.2,,121.2,,,,,,-0.5555177252880323,,0.101866121476618,,0.6909597935863311,,1.666666667,0.00023553796876766536
Bristol 005D,E01014661,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,120.1,,,,,,-0.5579261645693461,,0.102280646480582,,0.6914094027445281,,3.333333333,0.00047107593739400795
Bristol 006A,E01014616,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,0.0,,,122.2,,-0.6275081887088031,0.18170536461855452,0.1170189934417591,0.03804062389739727,0.6541150332259941,0.08924889974960402,3.333333333,0.00047107593739400795
Bristol 006B,E01014719,30.0,,60.0,,80.0,,93.3,,,,,,,,,,,,,,1.666666667,0.00023553796876766536
Bristol 006C,E01014720,30.0,0.0,60.0,0.0,80.0,0.0,91.2,0.0,121.2,,,,,,-0.5555177252880323,,0.101866121476618,,0.6909597935863311,,3.333333333,0.00047107593739400795
Bristol 006D,E01014721,30.0,0.0,60.0,0.0,80.0,0.0,93.3,0.0,123.3,0.0,,,,,-0.5509167558604982,0.0,0.1010737740467148,0.0,0.6901004445073456,0.0,4.333333333,0.0006123987186263426
Bristol 007A,E01014641,30.0,0.0,60.0,0.0,80.0,0.0,95.5,0.0,125.5,0.0,,,125.5,,-0.7665925511855475,0.3118342595788202,0.14643439836921743,0.06532546978031621,0.5794542292585355,0.15520220918709904,1.333333333,0.0001884303749293386
Bristol 007B,E01014642,30.0,0.0,60.0,0.0,80.0,0.0,96.5,0.0,126.5,0.0,,,126.5,,-0.6538400578578757,0.2198838723328118,0.12289983636955641,0.046071845138694195,0.6338501112041806,0.10987664390072673,4.666666667,0.0006595063124646694
Bristol 007C,E01014643,30.0,,60.0,,80.0,,97.6,,127.6,,,,,,-0.5414833481997912,,0.09944733542126116,,0.6883367266385902,,1.0,0.00014132278123233464
Bristol 007D,E01014644,30.0,0.0,60.0,0.0,80.0,0.0,95.5,0.0,125.5,,,,,,-0.5460924316310776,,0.10024231570335895,,0.6891987638298663,,3.666666667,0.0005181835312323347
