lsoa,lsoa_code,unit_travel_time,unit_postcode,selected,admissions,relative_frequency
Sedgemoor 002G,E01032633,19.8,BS234TQ,1,4.666666667,0.0005995974132082745
Sedgemoor 003A,E01029086,19.8,BS234TQ,1,2.666666667,0.0003426270932802261
Sedgemoor 003B,E01029147,30.5,BS234TQ,1,1.333333333,0.00017131354657587048
Sedgemoor 003C,E01029148,27.3,BS234TQ,1,3.333333333,0.0004282838665039188
Sedgemoor 003D,E01029149,21.9,BS234TQ,1,2.0,0.00025697031992804833
Sedgemoor 004A,E01029114,20.8,BS234TQ,1,6.333333333,0.0008137393463959913
Sedgemoor 004B,E01029116,19.8,BS234TQ,1,4.666666667,0.0005995974132082745
Sedgemoor 004C,E01029117,19.8,BS234TQ,1,8.666666667,0.001113538053064371
Sedgemoor 004D,E01029119,20.8,BS234TQ,1,7.333333333,0.0009422245063600154
Sedgemoor 004E,E01029120,19.8,BS234TQ,1,1.333333333,0.00017131354657587048
Sedgemoor 005A,E01029118,18.7,BS234TQ,1,1.333333333,0.00017131354657587048
Sedgemoor 005B,E01029131,19.8,BS234TQ,1,3.333333333,0.0004282838665039188
Sedgemoor 005C,E01029132,19.8,BS234TQ,1,2.333333333,0.00029979870653989467
Sedgemoor 005D,E01029133,20.8,BS234TQ,1,6.333333333,0.0008137393463959913
Sedgemoor 005E,E01029134,18.7,BS234TQ,1,6.666666667,0.0008565677331363228
Sedgemoor 006A,E01029135,23.0,BS234TQ,1,2.0,0.00025697031992804833
Sedgemoor 006B,E01029136,23.0,BS234TQ,1,6.333333333,0.0008137393463959913
Sedgemoor 006C,E01029145,23.0,BS234TQ,1,4.333333333,0.0005567690264679429
Sedgemoor 006D,E01029152,26.2,BS234TQ,1,6.0,0.0007709109597841449
Sedgemoor 007A,E01029121,32.6,TA15DA,1,3.666666667,0.00047111225324425026
Sedgemoor 007B,E01029122,29.4,TA15DA,1,4.666666667,0.0005995974132082745
Sedgemoor 007C,E01029123,29.4,TA15DA,1,3.0,0.00038545547989207247
Sedgemoor 007D,E01029124,35.9,TA15DA,1,5.666666667,0.0007280825731722986
Sedgemoor 007E,E01029125,24.1,TA15DA,1,1.333333333,0.00017131354657587048
Sedgemoor 008A,E01029093,27.3,TA15DA,1,0.666666667,8.565677335217782e-05
Sedgemoor 008B,E01029096,24.1,TA15DA,1,0.666666667,8.565677335217782e-05
Sedgemoor 008C,E01029106,26.2,TA15DA,1,2.666666667,0.0003426270932802261
Sedgemoor 008D,E01029107,25.1,TA15DA,1,5.666666667,0.0007280825731722986
Sedgemoor 008E,E01029109,25.1,TA15DA,1,5.0,0.0006424257998201208
Sedgemoor 009A,E01029094,24.1,TA15DA,1,1.0,0.00012848515996402416
Sedgemoor 009B,E01029095,23.0,TA15DA,1,4.0,0.0005139406398560967
Sedgemoor 009C,E01029110,26.2,TA15DA,1,2.666666667,0.0003426270932802261
Sedgemoor 009D,E01029111,25.1,TA15DA,1,2.0,0.00025697031992804833
Sedgemoor 009E,E01029112,24.1,TA15DA,1,6.0,0.0007709109597841449
Sedgemoor 010A,E01029090,26.2,BS234TQ,1,3.666666667,0.00047111225324425026
Sedgemoor 010B,E01029091,25.1,BS234TQ,1,1.666666667,0.000214141933316202
