property,,unit_travel_time,unit_postcode,selected,admissions,relative_frequency,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency
subtype,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,
lsoa,lsoa_code,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 012D,E01014482,12.2,BA13NG,1,1.0,0.00012848515996402416,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,0.0,,,,,-0.5533272842351653,0.0,0.1014889737674679,0.0,0.6905507439745506,0.0,1.0,0.00012848515996402416
Bath and North East Somerset 012E,E01014483,10.1,BA13NG,1,2.0,0.00025697031992804833,30.0,,60.0,,80.0,,90.1,,,,,,,,,,,,,,2.0,0.00025697031992804833
Bath and North East Somerset 012F,E01014484,9.0,BA13NG,1,0.666666667,8.565677335217782e-05,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 013A,E01014473,9.0,BA13NG,1,1.0,0.00012848515996402416,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 013B,E01014474,9.0,BA13NG,1,1.0,0.00012848515996402416,30.0,,60.0,,80.0,,89.0,,119.0,,,,,,-0.5603335053763068,,0.10269481769217104,,0.6918586494967175,,1.0,0.00012848515996402416
Bath and North East Somerset 013C,E01014475,7.9,BA13NG,1,0.333333333,4.2828386611846335e-05,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 013D,E01014476,11.2,BA13NG,1,0.333333333,4.2828386611846335e-05,30.0,,60.0,,80.0,,91.2,,,,,,,,,,,,,,0.333333333,4.2828386611846335e-05
Bath and North East Somerset 014A,E01014435,10.1,BA13NG,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 014B,E01014436,10.1,BA13NG,1,2.0,0.00025697031992804833,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,120.09999999999998,0.0,183.80000000000004,0.0,243.80000000000004,0.0,-0.594379668103735,0.0,0.12011597179522249,0.0,0.3913338806221171,0.0,2.0,0.00025697031992804833
Bath and North East Somerset 014C,E01014437,12.2,BA13NG,1,2.0,0.00025697031992804833,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,0.0,185.9,0.0,245.9,0.0,-0.5876566700810124,0.0,0.1188481150839662,0.0,0.38997999252390053,0.0,2.0,0.00025697031992804833
Bath and North East Somerset 014D,E01014438,12.2,BA13NG,1,0.666666667,8.565677335217782e-05,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,0.0,,,,,-0.5533272842351653,0.0,0.1014889737674679,0.0,0.6905507439745506,0.0,0.666666667,8.565677335217782e-05
Bath and North East Somerset 015A,E01014455,11.2,BA13NG,1,1.666666667,0.000214141933316202,30.0,0.0,60.0,0.0,80.0,0.0,91.2,0.0,121.2,0.0,184.9,0.0,244.9,0.0,-0.5790772203707407,0.02040312124196004,0.11358987115846646,0.010153065052090493,0.4907362585998354,0.17339866773382756,1.666666667,0.000214141933316202
